% program   : RTKPOST ver.2.4.2
% obs_start : 2019/10/29 01:44:23.0 GPST
% obs_end   : 2019/10/29 01:54:54.0 GPST
% pos_mode  : ppp-static
% solution  : forward
% tropo opt : saastamoinen
% ephemeris : broadcast
% antenna1  : ( 0.0000  0.0000  0.0000)
% ====================================  END OF HEADER
%  GPST           x-ecef(m)             y-ecef(m)      z-ecef(m)   Q 
2018/10/29 01:44:23.000  3664880.9713          1409189.3944          5009618.4510  6 
2018/10/29 01:44:24.000  3664880.8767          1409190.0707          5009617.8049  6 
2018/10/29 01:44:25.000  3664882.0018          1409190.4325          5009617.4771  6 
2018/10/29 01:44:26.000  3664880.4992          1409191.3595          5009617.3536  1 
2018/10/29 01:44:27.000  3664880.3853          1409190.4246          5009617.5418  6 
2018/10/29 01:44:28.000  3664881.4912          1409190.5982          5009618.2678  6 
2018/10/29 01:44:29.000  3664880.9709          1409190.5239          5009618.4897  6 
2018/10/29 01:44:30.000  3664881.1126          1409190.2274          5009618.0367  6 
2018/10/29 01:44:31.000  3664882.0295          1409190.3877          5009619.3479  6 
2018/10/29 01:44:32.000  3664881.5297          1409190.8738          5009617.8659  6 
2018/10/29 01:44:33.000  3664880.9492          1409190.2713          5009617.7404  6 
2018/10/29 01:44:34.000  3664880.3101          1409190.7067          5009619.9233  6 
2018/10/29 01:44:35.000  3664880.5684          1409190.1397          5009618.2801  6 
2018/10/29 01:44:36.000  3664881.3163          1409191.0552          5009617.8446  6 
2018/10/29 01:44:37.000  3664882.2863          1409190.9006          5009618.0432  6 
2018/10/29 01:44:38.000  3664881.9263         1409191.1634          5009618.5086  2 
2018/10/29 01:44:39.000  3664880.6159         1409189.9152          5009618.1097  6 
2018/10/29 01:44:40.000  3664880.5642         1409190.8716          5009617.0069  6 
2018/10/29 01:44:41.000  3664880.5104         1409191.3519          5009616.7645  6 
2018/10/29 01:44:42.000  3664882.4322         1409191.3746          5009618.0000  6 
2018/10/29 01:44:43.000  3664880.9633         1409189.6667          5009618.7077  6 
2018/10/29 01:44:44.000  3664880.5260         1409190.8687          5009619.0230  6 
2018/10/29 01:44:45.000  3664880.5037         1409190.8360          5009617.9715  6 
2018/10/29 01:44:46.000  3664881.1593         1409190.6479          5009618.5097  6 
2018/10/29 01:44:47.000  3664880.5524         1409190.2467          5009617.4852  6 
2018/10/29 01:44:48.000  3664881.3473         1409191.0457          5009617.8219  6 
2018/10/29 01:44:49.000  3664882.0323         1409191.9173          5009618.2781  6 
2018/10/29 01:44:50.000  3664880.8960         1409190.1960          5009618.9126  6 
2018/10/29 01:44:51.000  3664881.1187         1409189.9549          5009618.5546  6 
2018/10/29 01:44:52.000  3664881.5219         1409191.3155          5009618.2963  6 
2018/10/29 01:44:53.000  3664880.2702         1409191.0846          5009619.8151  6 
2018/10/29 01:44:54.000  3664880.0133         1409190.4001          5009619.4511  6 
2018/10/29 01:44:55.000  3664880.4719         1409190.9157          5009617.5516  6 
2018/10/29 01:44:56.000  3664881.8987         1409189.2408          5009617.7729  6 
2018/10/29 01:44:57.000  3664880.3543         1409191.5026          5009618.3436  6 
2018/10/29 01:44:58.000  3664880.5678         1409190.1701          5009618.8042  6 
2018/10/29 01:44:59.000  3664881.8399         1409190.3086          5009618.2340  6 
2018/10/29 01:45:00.000  3664881.0160         1409190.4865          5009616.8441  6 
2018/10/29 01:45:01.000  3664880.1709         1409190.1737          5009618.1180  6 
2018/10/29 01:45:02.000  3664881.6605         1409191.1321          5009618.8281  6 
2018/10/29 01:45:03.000  3664879.7134         1409189.7741          5009618.1530  6 
2018/10/29 01:45:04.000  3664882.4780         1409190.4910          5009617.2141  6 
2018/10/29 01:45:05.000  3664881.2139         1409189.4126          5009618.1904  6 
2018/10/29 01:45:06.000  3664880.5602         1409191.2616          5009618.3777  6 
2018/10/29 01:45:07.000  3664880.2818         1409190.5799          5009619.6357  6 
2018/10/29 01:45:08.000  3664879.0924         1409189.8610          5009618.9211  6 
2018/10/29 01:45:09.000  3664880.1799         1409190.6610          5009617.6291  6 
2018/10/29 01:45:10.000  3664881.5156         1409189.8139          5009619.1800  6 
2018/10/29 01:45:11.000  3664880.6909         1409190.5111          5009616.4544  6 
2018/10/29 01:45:12.000  3664880.7502         1409189.0820          5009618.3000  6 
2018/10/29 01:45:13.000  3664879.9210         1409191.4277          5009618.2147  6 
2018/10/29 01:45:14.000  3664880.7693         1409191.3369          5009618.8731  6 
2018/10/29 01:45:15.000  3664882.4887         1409190.6199          5009617.2386  6 
2018/10/29 01:45:16.000  3664880.8752         1409190.7329          5009617.7978  6 
2018/10/29 01:45:17.000  3664880.8626         1409191.4941          5009616.9060  6 
2018/10/29 01:45:18.000  3664881.3118         1409190.2028          5009619.2568  6 
2018/10/29 01:45:19.000  3664881.3702         1409189.5248          5009618.4616  6 
2018/10/29 01:45:20.000  3664880.1588         1409189.8578          5009619.6336  6 
2018/10/29 01:45:21.000  3664881.1013         1409190.3152          5009617.1914  6 
2018/10/29 01:45:22.000  3664881.5541          1409190.9629          5009619.1764  6 
2018/10/29 01:45:23.000  3664881.2145          1409189.5663          5009618.0845  6 
2018/10/29 01:45:24.000  3664880.6343          1409190.5792          5009617.9279  6 
2018/10/29 01:45:25.000  3664881.6760          1409190.3786          5009619.2111  6 
2018/10/29 01:45:26.000  3664880.3695          1409191.6510          5009617.2180  1 
2018/10/29 01:45:27.000  3664881.2424          1409190.0806          5009618.1065  6 
2018/10/29 01:45:28.000  3664879.3458          1409189.4278          5009618.1492  6 
2018/10/29 01:45:29.000  3664881.2057          1409190.3101          5009618.1081  6 
2018/10/29 01:45:30.000  3664880.3248          1409190.8882          5009617.5678  6 
2018/10/29 01:45:31.000  3664881.6177          1409190.7526          5009620.2090  6 
2018/10/29 01:45:32.000  3664880.1534          1409190.6039          5009617.9324  6 
2018/10/29 01:45:33.000  3664880.6700          1409188.9753          5009618.7904  6 
2018/10/29 01:45:34.000  3664881.5785          1409190.8364       5009618.2139  6 
2018/10/29 01:45:35.000  3664881.0516          1409191.4871       5009617.6544  6 
2018/10/29 01:45:36.000  3664880.9680          1409189.6571       5009618.6913  6 
2018/10/29 01:45:37.000  3664879.4143          1409190.5536       5009617.4713  6 
2018/10/29 01:45:38.000  3664880.9066          1409191.5727       5009619.0573  3 
2018/10/29 01:45:39.000  3664880.0440          1409191.2774       5009618.6382  6 
2018/10/29 01:45:40.000  3664880.4336          1409189.2753       5009619.3942  6 
2018/10/29 01:45:41.000  3664880.8961          1409190.6860       5009618.4798  6 
2018/10/29 01:45:42.000  3664880.4936          1409189.6739       5009617.3021  6 
2018/10/29 01:45:43.000  3664881.5011          1409191.5400       5009618.7600  6 
2018/10/29 01:45:44.000  3664879.5388          1409190.6528       5009617.8590  3 
2018/10/29 01:45:45.000  3664880.8258          1409190.2795       5009619.7376  6 
2018/10/29 01:45:46.000  3664881.0129          1409189.5788       5009617.9692  6 
2018/10/29 01:45:47.000  3664880.0715          1409190.9355       5009617.3808  6 
2018/10/29 01:45:48.000  3664881.8871          1409190.8458       5009617.7499  3 
2018/10/29 01:45:49.000  3664881.0646          1409189.9938       5009617.8202  6 
2018/10/29 01:45:50.000  3664881.0205          1409189.7535       5009617.4041  6 
2018/10/29 01:45:51.000  3664880.7099          1409189.8798       5009618.3368  6 
2018/10/29 01:45:52.000  3664880.6973          1409191.5552       5009619.5265  6 
